RULE_ID,RULE_TYPE,FORM_FAMILY,FIELD_PATH,RULE_TEXT,RULE_EXPRESSION,ERROR_CODE,SEVERITY,TAX_YEAR,SCHEMA_VERSION
F1040-001-01,MATH,1040,//Return/ReturnData/IRS1040/TotalIncomeAmt,Total income must equal the sum of all income line items,"[TotalIncomeAmt] = [WagesSalariesTipsAmt] + [TaxableInterestAmt] + [OrdinaryDividendsAmt] + [IRADistributionsAmt] + [PensionsAnnuitiesAmt] + [SocialSecurityBenefitsAmt] + [OtherIncomeAmt]",IND-001-01,ERROR,2024,5.2
F1040-002-01,MATH,1040,//Return/ReturnData/IRS1040/AdjustedGrossIncomeAmt,AGI must equal Total Income minus above-the-line deductions,"[AdjustedGrossIncomeAmt] = [TotalIncomeAmt] - [EducatorExpensesAmt] - [StudentLoanInterestDeductionAmt] - [TuitionAndFeesDedAmt] - [HealthSavingsAccountDedAmt] - [SelfEmployedHealthInsDedAmt] - [SEPSIMPLEQualifiedPlansAmt] - [SelfEmploymentTaxDeductionAmt] - [AlimonyPaidAmt]",IND-002-01,ERROR,2024,5.2
F1040-003-01,MATH,1040,//Return/ReturnData/IRS1040/TaxableIncomeAmt,Taxable income must equal AGI minus deductions and QBI,"[TaxableIncomeAmt] = [AdjustedGrossIncomeAmt] - [DeductionsAmt] - [QualifiedBusinessIncomeDedAmt]",IND-003-01,ERROR,2024,5.2
F1040-004-01,MATH,1040,//Return/ReturnData/IRS1040/TotalTaxAmt,Total tax must equal sum of all tax liability components,"[TotalTaxAmt] = [IncomeTaxAmt] + [AlternativeMinimumTaxAmt] + [ExcessAdvancePremiumTaxCreditRepayAmt] + [SelfEmploymentTaxAmt] + [UnreportedSSTaxAmt] + [AdditionalTaxOnIRAAmt] + [HouseholdEmploymentTaxAmt] + [NetInvestmentIncomeTaxAmt] + [AdditionalMedicareTaxAmt]",IND-004-01,ERROR,2024,5.2
F1040-005-01,MATH,1040,//Return/ReturnData/IRS1040/RefundableCreditsAmt,Total payments must equal sum of withholding and refundable credits,"[TotalPaymentsAmt] = [FederalIncomeTaxWithheldAmt] + [EstimatedTaxPaymentsAmt] + [EarnedIncomeCreditAmt] + [AdditionalChildTaxCreditAmt] + [AmericanOpportunityCreditAmt] + [RecoveryRebateCreditAmt] + [OtherPaymentsAmt]",IND-005-01,ERROR,2024,5.2
F1040-006-01,MATH,1040,//Return/ReturnData/IRS1040/OverpaymentAmt,Overpayment must equal total payments minus total tax,"[OverpaymentAmt] = [TotalPaymentsAmt] - [TotalTaxAmt]",IND-006-01,ERROR,2024,5.2
F1040-007-01,MATH,1040,//Return/ReturnData/IRS1040/AmountOwedAmt,Amount owed must equal total tax minus total payments when tax exceeds payments,"If [TotalTaxAmt] > [TotalPaymentsAmt] Then [AmountOwedAmt] = [TotalTaxAmt] - [TotalPaymentsAmt]",IND-007-01,ERROR,2024,5.2
F1040-008-01,MATH,1040,//Return/ReturnData/IRS1040/RefundAmt,Refund must equal overpayment minus amount applied to next year,"If [OverpaymentAmt] > 0 Then [RefundAmt] = [OverpaymentAmt] - [AmountAppliedToNextYrAmt]",IND-008-01,ERROR,2024,5.2
F1040-009-01,MATH,1040,//Return/ReturnData/IRS1040/DeductionsAmt,Standard or itemized deduction must match claimed type,"If [ItemizedOrStandardCd] = 'S' Then [DeductionsAmt] >= [StandardDeductionAmt] Else [DeductionsAmt] = [ScheduleADeductionAmt]",IND-009-01,ERROR,2024,5.2
F1040-010-01,MATH,1040,//Return/ReturnData/IRS1040/ChildTaxCreditAmt,Child tax credit cannot exceed 2000 per qualifying child,"[ChildTaxCreditAmt] <= [QualifyingChildrenCnt] * 2000",IND-010-01,ERROR,2024,5.2
