sample_id,category,rule_id,form_family,severity,field_path,rule_text,rule_expression,expert_correct,expert_notes
1,income_limits,F1040-030-01,1040,ERROR,//Return/ReturnData/IRS8812,Form 8812 required when additional child tax credit is claimed,If [AdditionalChildTaxCreditAmt] > 0 Then [IRS8812] must be attached,,
2,income_limits,F1040-002-01,1040,ERROR,//Return/ReturnData/IRS1040/AdjustedGrossIncomeAmt,AGI must equal Total Income minus above-the-line deductions,[AdjustedGrossIncomeAmt] = [TotalIncomeAmt] - [EducatorExpensesAmt] - [StudentLoanInterestDeductionAmt] - [TuitionAndFeesDedAmt] - [HealthSavingsAccountDedAmt] - [SelfEmployedHealthInsDedAmt] - [SEPSIMPLEQualifiedPlansAmt] - [SelfEmploymentTaxDeductionAmt] - [AlimonyPaidAmt],,
3,income_limits,F1040-044-01,1040,ERROR,//Return/ReturnData/IRS1040/IRADeductionAmt,Traditional IRA deduction phase-out applies for workplace plan participants (MFJ filers),"If [WorkplacePlanParticipantInd] = true AND [FilingStatusCd] = 2 AND [AdjustedGrossIncomeAmt] > 123000 Then [IRADeductionAmt] <= MAX(0, 7000 - ([AdjustedGrossIncomeAmt] - 123000) / 10000 * 7000)",,
4,income_limits,F1040-060-01,1040,ERROR,//Return/ReturnData/IRS1040/StudentLoanInterestDeductionAmt,Student loan interest deduction phases out for MFJ filers at MAGI over 155000,"If [FilingStatusCd] = 2 AND [ModifiedAGIAmt] > 155000 Then [StudentLoanInterestDeductionAmt] <= MAX(0, 2500 - ([ModifiedAGIAmt] - 155000) / 30000 * 2500)",,
5,income_limits,F1040-057-01,1040,ERROR,//Return/ReturnData/IRS1040/HSAContributionAmt,HSA contribution limit for self-only HDHP coverage is 4150 in 2024,If [HSACoverageTypeCd] = 'SELF' AND [PrimaryAge] < 55 Then [HSAContributionAmt] <= 4150,,
6,income_limits,F1040-010-01,1040,ERROR,//Return/ReturnData/IRS1040/ChildTaxCreditAmt,Child tax credit cannot exceed 2000 per qualifying child,[ChildTaxCreditAmt] <= [QualifyingChildrenCnt] * 2000,,
7,income_limits,F1040-047-01,1040,ERROR,//Return/ReturnData/IRS1040/NetInvestmentIncomeTaxAmt,NIIT of 3.8 percent applies to lesser of NII or excess MAGI over threshold (MFJ 250000),"If [FilingStatusCd] = 2 AND [ModifiedAGIAmt] > 250000 Then [NetInvestmentIncomeTaxAmt] = MIN([NetInvestmentIncomeAmt], [ModifiedAGIAmt] - 250000) * 0.038",,
8,income_limits,F1040-005-01,1040,ERROR,//Return/ReturnData/IRS1040/RefundableCreditsAmt,Total payments must equal sum of withholding and refundable credits,[TotalPaymentsAmt] = [FederalIncomeTaxWithheldAmt] + [EstimatedTaxPaymentsAmt] + [EarnedIncomeCreditAmt] + [AdditionalChildTaxCreditAmt] + [AmericanOpportunityCreditAmt] + [RecoveryRebateCreditAmt] + [OtherPaymentsAmt],,
9,income_limits,F1040-058-01,1040,ERROR,//Return/ReturnData/IRS1040/HSAContributionAmt,HSA contribution limit for family HDHP coverage is 8300 in 2024,If [HSACoverageTypeCd] = 'FAMILY' AND [PrimaryAge] < 55 Then [HSAContributionAmt] <= 8300,,
10,income_limits,F1040-046-01,1040,ERROR,//Return/ReturnData/IRS1040/ChildTaxCreditAmt,Child tax credit phases out at 200000 AGI for non-MFJ filers,"If [FilingStatusCd] != 2 AND [AdjustedGrossIncomeAmt] > 200000 Then [ChildTaxCreditAmt] <= MAX(0, [QualifyingChildrenCnt] * 2000 - CEIL(([AdjustedGrossIncomeAmt] - 200000) / 1000) * 200)",,
11,required_attachments,F1040-028-01,1040,ERROR,//Return/ReturnData/IRS1040ScheduleE,Schedule E required when supplemental income or loss is present,If [SupplementalIncomeOrLossAmt] != 0 Then [IRS1040ScheduleE] must be attached,,
